,기업명,채용공고,위치,위치상세,태그,마감일,경력
0,비큐에이아이,서비스개발본부 미디어데이터팀 백엔드개발자 (주니어),서울 중구,"중구 퇴계로 385 (흥인동) 준타워 5,6,9층","리프레시휴가,유망산업,건강검진지원,설립10년이상",상시채용,경력 1-3년
1,비큐에이아이,서비스개발본부 백엔드개발팀 (3년 이상),서울 중구,"중구 퇴계로 385 (흥인동) 준타워 5,6,9층","리프레시휴가,유망산업,건강검진지원,설립10년이상",상시채용,경력 3-7년
2,오나인솔루션즈코리아,Technical Consultant,서울 강남구,영동대로 417,설립4~9년,상시채용,경력 10-15년
3,오엠티아이코리아,시스템엔지니어 (2~7년),서울 서초구,"서울특별시 서초구 서초대로27길 54, 1층","커피·스낵바,편의시설,설립10년이상",2024.05.19,경력 2-7년
4,와이드모바일,DBA (2년 이상),서울 서대문구,서울시 서대문구 통일로 135,"설립10년이상,보너스,편의시설,복지포인트",상시채용,경력 2-10년
5,블루포션게임즈,모바일 DBA,서울 강남구,"서울 강남구 테헤란로309, 2층(삼성제일빌딩)","스톡옵션,건강검진지원,워크샵,보너스,복지포인트,식대지원,설립4~9년",상시채용,경력 1-7년
6,카카오VX,스크린DB개발팀 DBA,경기 성남시,경기도 성남시 분당구 판교역로 231 (삼평동 680) 에이치스퀘어 S동 5층,"자기계발지원,편의시설,유연근무,복지포인트,유망산업,설립10년이상",2024.05.14,경력 3-10년
7,테크핀레이팅스,신용평가 모델러,서울 중구,서울시 중구 을지로 29,"편의시설,사내동호회,설립3년이하",상시채용,경력 10-30년
8,코빗(Korbit),DBA,서울 강남구,강남구 테헤란로 5길 KG타워 4층,"장비지원,어린이돌봄,휴가비,커피·스낵바,건강검진지원,편의시설,유연근무,식대지원,대출지원,보너스,자기계발지원,워크샵,유망산업,설립10년이상",상시채용,경력 3-8년
9,섹타나인,[클라우드 인프라] 해피포인트 및 해피오더,서울 강남구,"서울시 강남구 논현로 201, SPC2023",,상시채용,경력 3-10년
